"endpoint","metric","scenario","truth_population_log","truth_population_exp"
"Time-to-Event (TTE)","AHR",1,-0.412056423392081,0.662286906524078
"Time-to-Event (TTE)","AHR",2,-0.388119905528893,0.678331002749964
"Time-to-Event (TTE)","AHR",3,-0.0192279416664342,0.980955736071735
"Time-to-Event (TTE)","AHR",4,-0.124556514921601,0.882888363589766
"Time-to-Event (TTE)","AHR",5,-0.192327874570489,0.825036315712765
"Time-to-Event (TTE)","AHR",6,-0.427354314953225,0.652232415584914
"Binary","OR",1,-0.408470814812343,0.664665870606591
"Binary","OR",2,-0.423514353806321,0.654741777562319
"Binary","OR",3,-0.0480408051745598,0.953094895080447
"Binary","OR",4,0.148517014171706,1.1601125359604
"Binary","OR",5,0.281994388429105,1.32577128030639
"Binary","OR",6,-0.450444971272586,0.637344488527354
"Count","RR",1,-0.416493128711384,0.659355043398677
"Count","RR",2,-0.375656565671291,0.686838176349665
"Count","RR",3,-0.00860582115456857,0.991431102927703
"Count","RR",4,0.210501022195953,1.23429631491424
"Count","RR",5,0.509062651381942,1.66373096789821
"Count","RR",6,-0.417075395774268,0.658971234424666
"Continuous","MeanDiff",1,-0.299497322298578,-0.299497322298578
"Continuous","MeanDiff",2,-0.322350874650377,-0.322350874650377
"Continuous","MeanDiff",3,-0.0367446351657718,-0.0367446351657718
"Continuous","MeanDiff",4,-0.15185302124588,-0.15185302124588
"Continuous","MeanDiff",5,-0.303205670846999,-0.303205670846999
"Continuous","MeanDiff",6,-0.344469766326752,-0.344469766326752
