"endpoint","metric","scenario","truth_population_log","truth_population_exp"
"Time-to-Event (TTE)","AHR",1,-0.412056423392081,0.662286906524078
"Time-to-Event (TTE)","AHR",2,-0.388119905528893,0.678331002749964
"Time-to-Event (TTE)","AHR",3,-0.0192279416664342,0.980955736071735
"Time-to-Event (TTE)","AHR",4,-0.124556514921601,0.882888363589766
"Time-to-Event (TTE)","AHR",5,-0.192327874570489,0.825036315712765
"Time-to-Event (TTE)","AHR",6,-0.427354314953225,0.652232415584914
"Binary","OR",1,-0.409412727177609,0.664040108357162
"Binary","OR",2,-0.42325938214786,0.654908739443577
"Binary","OR",3,-0.0477690629201698,0.953353926429171
"Binary","OR",4,0.0660378525080692,1.06826715299172
"Binary","OR",5,0.135427242747293,1.14502588386611
"Binary","OR",6,-0.452839664046543,0.635820070271335
"Count","RR",1,-0.416108290658288,0.65960883714149
"Count","RR",2,-0.370614918843968,0.69030971564653
"Count","RR",3,-0.00553939859656878,0.994475915581676
"Count","RR",4,0.115516445953832,1.12245297420628
"Count","RR",5,0.306032582475354,1.35802655369376
"Count","RR",6,-0.417852892270782,0.658459085721308
"Continuous","MeanDiff",1,-0.301348442407122,-0.301348442407122
"Continuous","MeanDiff",2,-0.324362005393078,-0.324362005393078
"Continuous","MeanDiff",3,-0.0383661863460414,-0.0383661863460414
"Continuous","MeanDiff",4,-0.0698843714463926,-0.0698843714463926
"Continuous","MeanDiff",5,-0.13827846413095,-0.13827846413095
"Continuous","MeanDiff",6,-0.346453779007925,-0.346453779007925
