"scenario_no","join_key","truth_log","truth_exp","endpoint","metric"
"1","10a",-0.408330783847847,0.664758950926431,"Time-to-Event (TTE)","AHR"
"1","10b",-0.411698648579685,0.662523898490162,"Time-to-Event (TTE)","AHR"
"1","10c",-0.413733997145951,0.661176802792945,"Time-to-Event (TTE)","AHR"
"1","1a",-0.41323174755486,0.661508961978212,"Time-to-Event (TTE)","AHR"
"1","1b",-0.41085556928206,0.663082694194607,"Time-to-Event (TTE)","AHR"
"1","2a",-0.410480093339702,0.663331712541344,"Time-to-Event (TTE)","AHR"
"1","2b",-0.413055414988895,0.661625617835698,"Time-to-Event (TTE)","AHR"
"1","3a",-0.40666876873303,0.665864708989352,"Time-to-Event (TTE)","AHR"
"1","3b",-0.41343886920739,0.661371963337026,"Time-to-Event (TTE)","AHR"
"1","4a",-0.415480026953332,0.660023375639446,"Time-to-Event (TTE)","AHR"
"1","4b",-0.413229095514402,0.661510716329069,"Time-to-Event (TTE)","AHR"
"1","4c",-0.412536242341546,0.661969204942059,"Time-to-Event (TTE)","AHR"
"1","5a",-0.40277335121495,0.66846358861569,"Time-to-Event (TTE)","AHR"
"1","5b",-0.412325487511988,0.662108732851593,"Time-to-Event (TTE)","AHR"
"1","5c",-0.4127126332027,0.661852449921505,"Time-to-Event (TTE)","AHR"
"1","5d",-0.414803972463002,0.660469738271999,"Time-to-Event (TTE)","AHR"
"1","6a",-0.412758949758277,0.661821795905624,"Time-to-Event (TTE)","AHR"
"1","6b",-0.415344793107147,0.660112639174695,"Time-to-Event (TTE)","AHR"
"1","7a",-0.411291358195607,0.66279379306224,"Time-to-Event (TTE)","AHR"
"1","7b",-0.412629963714026,0.66190716718681,"Time-to-Event (TTE)","AHR"
"1","8a",-0.407714726401527,0.665168606800977,"Time-to-Event (TTE)","AHR"
"1","8b",-0.417127466373187,0.658936922291153,"Time-to-Event (TTE)","AHR"
"1","8c",-0.410792487545864,0.66312452392153,"Time-to-Event (TTE)","AHR"
"1","9a",-0.411127128209118,0.662902652616676,"Time-to-Event (TTE)","AHR"
"1","9b",-0.41228557378468,0.662135160606417,"Time-to-Event (TTE)","AHR"
"2","10a",-0.387473960314341,0.678769308960732,"Time-to-Event (TTE)","AHR"
"2","10b",-0.386762789174632,0.679252201793156,"Time-to-Event (TTE)","AHR"
"2","10c",-0.389249813859904,0.677564983745898,"Time-to-Event (TTE)","AHR"
"2","1a",-0.386110989644201,0.679695082378328,"Time-to-Event (TTE)","AHR"
"2","1b",-0.390297243192467,0.676855653858521,"Time-to-Event (TTE)","AHR"
"2","2a",-0.387393724323255,0.678823772873909,"Time-to-Event (TTE)","AHR"
"2","2b",-0.388595924527684,0.67800818114589,"Time-to-Event (TTE)","AHR"
"2","3a",-0.387764354270471,0.678572227072883,"Time-to-Event (TTE)","AHR"
"2","3b",-0.388100263601112,0.678344326609384,"Time-to-Event (TTE)","AHR"
"2","4a",0.00431401629732088,1.00432333506124,"Time-to-Event (TTE)","AHR"
"2","4b",-0.634091121861302,0.530417354043262,"Time-to-Event (TTE)","AHR"
"2","4c",-0.633044726532987,0.530972670774336,"Time-to-Event (TTE)","AHR"
"2","5a",-0.384847487636588,0.680554421253351,"Time-to-Event (TTE)","AHR"
"2","5b",-0.392654328026177,0.675262126439639,"Time-to-Event (TTE)","AHR"
"2","5c",-0.385724372883609,0.679957914693683,"Time-to-Event (TTE)","AHR"
"2","5d",-0.38964543319262,0.67729697895659,"Time-to-Event (TTE)","AHR"
"2","6a",-0.384397401367013,0.680860798396956,"Time-to-Event (TTE)","AHR"
"2","6b",-0.393017810213094,0.675016725287354,"Time-to-Event (TTE)","AHR"
"2","7a",-0.386703917237588,0.679292191863151,"Time-to-Event (TTE)","AHR"
"2","7b",-0.389159538175992,0.677626154149259,"Time-to-Event (TTE)","AHR"
"2","8a",-0.390423485925635,0.676770211144192,"Time-to-Event (TTE)","AHR"
"2","8b",-0.388778743094881,0.677884239991382,"Time-to-Event (TTE)","AHR"
"2","8c",-0.386891391097378,0.679164854270625,"Time-to-Event (TTE)","AHR"
"2","9a",-0.390268778294918,0.676874920759578,"Time-to-Event (TTE)","AHR"
"2","9b",-0.387550791183683,0.678717160527972,"Time-to-Event (TTE)","AHR"
"3","10a",-0.0201019116416453,0.98009878474081,"Time-to-Event (TTE)","AHR"
"3","10b",-0.0196955132396886,0.980497176268046,"Time-to-Event (TTE)","AHR"
"3","10c",-0.0187022381420465,0.981471563533734,"Time-to-Event (TTE)","AHR"
"3","1a",-0.0184296402536085,0.981739147079213,"Time-to-Event (TTE)","AHR"
"3","1b",-0.0200668522944514,0.980133146966744,"Time-to-Event (TTE)","AHR"
"3","2a",-0.0176533866592053,0.982501521480552,"Time-to-Event (TTE)","AHR"
"3","2b",-0.0202682449864892,0.979935775189005,"Time-to-Event (TTE)","AHR"
"3","3a",-0.0182394091815467,0.981925922134293,"Time-to-Event (TTE)","AHR"
"3","3b",-0.0194501710484011,0.980737763105667,"Time-to-Event (TTE)","AHR"
"3","4a",-0.688458768883806,0.502349709737234,"Time-to-Event (TTE)","AHR"
"3","4b",0.2226817277229,1.24942285379099,"Time-to-Event (TTE)","AHR"
"3","4c",0.22130322476666,1.24770170726878,"Time-to-Event (TTE)","AHR"
"3","5a",-0.0185936428685564,0.981578152494022,"Time-to-Event (TTE)","AHR"
"3","5b",-0.0202101647508679,0.979992691742569,"Time-to-Event (TTE)","AHR"
"3","5c",-0.0173525780149502,0.982797110886903,"Time-to-Event (TTE)","AHR"
"3","5d",-0.0205975121078756,0.979613167672104,"Time-to-Event (TTE)","AHR"
"3","6a",-0.0152946874363651,0.984821682260745,"Time-to-Event (TTE)","AHR"
"3","6b",-0.0206370390468151,0.979574447327494,"Time-to-Event (TTE)","AHR"
"3","7a",-0.0171450297275501,0.983001109913221,"Time-to-Event (TTE)","AHR"
"3","7b",-0.0205375918009332,0.979671868152453,"Time-to-Event (TTE)","AHR"
"3","8a",-0.0149259452506695,0.985184894522108,"Time-to-Event (TTE)","AHR"
"3","8b",-0.0229489885466966,0.977312336624356,"Time-to-Event (TTE)","AHR"
"3","8c",-0.0188667923191449,0.981310071575703,"Time-to-Event (TTE)","AHR"
"3","9a",-0.0236897825984992,0.976588617555118,"Time-to-Event (TTE)","AHR"
"3","9b",-0.0181017553292883,0.982061097323586,"Time-to-Event (TTE)","AHR"
"4","10a",-0.04050411260913,0.960305215143296,"Time-to-Event (TTE)","AHR"
"4","10b",-0.161121830356075,0.851188364208456,"Time-to-Event (TTE)","AHR"
"4","10c",-0.138182266670494,0.870939933956149,"Time-to-Event (TTE)","AHR"
"4","1a",-0.294704562267445,0.74475158268577,"Time-to-Event (TTE)","AHR"
"4","1b",0.0270570836601793,1.02742645035192,"Time-to-Event (TTE)","AHR"
"4","2a",-0.240862533635158,0.785949660605432,"Time-to-Event (TTE)","AHR"
"4","2b",-0.0531595481091511,0.948228712314699,"Time-to-Event (TTE)","AHR"
"4","3a",0.154800381628412,1.16742489838693,"Time-to-Event (TTE)","AHR"
"4","3b",-0.203089682550998,0.816205038793144,"Time-to-Event (TTE)","AHR"
"4","4a",-0.126472132694778,0.881198705834652,"Time-to-Event (TTE)","AHR"
"4","4b",-0.148669205339896,0.861854164505322,"Time-to-Event (TTE)","AHR"
"4","4c",-0.100567939787795,0.904323670767338,"Time-to-Event (TTE)","AHR"
"4","5a",-0.0378125248795972,0.962893442534961,"Time-to-Event (TTE)","AHR"
"4","5b",0.11163061150934,1.11809977116761,"Time-to-Event (TTE)","AHR"
"4","5c",-0.17502433273391,0.839436594733404,"Time-to-Event (TTE)","AHR"
"4","5d",-0.21947622394205,0.802939248196177,"Time-to-Event (TTE)","AHR"
"4","6a",-0.051735314879648,0.94958017332534,"Time-to-Event (TTE)","AHR"
"4","6b",-0.164256866061278,0.848524036857681,"Time-to-Event (TTE)","AHR"
"4","7a",-0.0894714766967052,0.914414346870087,"Time-to-Event (TTE)","AHR"
"4","7b",-0.147484948613927,0.862875425694801,"Time-to-Event (TTE)","AHR"
"4","8a",-0.354958225823518,0.701202734763545,"Time-to-Event (TTE)","AHR"
"4","8b",-0.0135302718972785,0.986560850796958,"Time-to-Event (TTE)","AHR"
"4","8c",-0.111968772174089,0.894072176994717,"Time-to-Event (TTE)","AHR"
"4","9a",-0.122366689541563,0.884823853354957,"Time-to-Event (TTE)","AHR"
"4","9b",-0.125083899244592,0.882422864867011,"Time-to-Event (TTE)","AHR"
"5","10a",-0.0364562332393953,0.964200292896255,"Time-to-Event (TTE)","AHR"
"5","10b",-0.256508660836899,0.773748293222684,"Time-to-Event (TTE)","AHR"
"5","10c",-0.221008054020174,0.801710223273881,"Time-to-Event (TTE)","AHR"
"5","1a",-0.547218398308099,0.578556889039336,"Time-to-Event (TTE)","AHR"
"5","1b",0.0916925568868162,1.09602780407632,"Time-to-Event (TTE)","AHR"
"5","2a",-0.433715448749323,0.648096645961004,"Time-to-Event (TTE)","AHR"
"5","2b",-0.0522812324378914,0.949061922309797,"Time-to-Event (TTE)","AHR"
"5","3a",0.320749198476396,1.37815989294511,"Time-to-Event (TTE)","AHR"
"5","3b",-0.351400201092703,0.703702075155904,"Time-to-Event (TTE)","AHR"
"5","4a",-0.199994515914913,0.818735243079407,"Time-to-Event (TTE)","AHR"
"5","4b",-0.247886134022068,0.78044880478517,"Time-to-Event (TTE)","AHR"
"5","4c",-0.133590436002802,0.874948338569153,"Time-to-Event (TTE)","AHR"
"5","5a",-0.0293920016671068,0.971035742219832,"Time-to-Event (TTE)","AHR"
"5","5b",0.265790307190015,1.30446149380948,"Time-to-Event (TTE)","AHR"
"5","5c",-0.303150544539524,0.738487912678885,"Time-to-Event (TTE)","AHR"
"5","5d",-0.388315041682052,0.678198648761463,"Time-to-Event (TTE)","AHR"
"5","6a",-0.0379969989489454,0.962715830046221,"Time-to-Event (TTE)","AHR"
"5","6b",-0.277714646381026,0.757512949738011,"Time-to-Event (TTE)","AHR"
"5","7a",-0.122166009384114,0.885001437763401,"Time-to-Event (TTE)","AHR"
"5","7b",-0.238653827759037,0.787687510732549,"Time-to-Event (TTE)","AHR"
"5","8a",-0.649403650065978,0.522357191572416,"Time-to-Event (TTE)","AHR"
"5","8b",0.013296981349283,1.01338577935107,"Time-to-Event (TTE)","AHR"
"5","8c",-0.174432954324911,0.839933166227611,"Time-to-Event (TTE)","AHR"
"5","9a",-0.169087899576783,0.844434674673222,"Time-to-Event (TTE)","AHR"
"5","9b",-0.197925025851291,0.820431361974954,"Time-to-Event (TTE)","AHR"
"6","10a",-0.426238805168108,0.652960393184249,"Time-to-Event (TTE)","AHR"
"6","10b",-0.427683023496826,0.652018056450267,"Time-to-Event (TTE)","AHR"
"6","10c",-0.427568727405028,0.652092583824914,"Time-to-Event (TTE)","AHR"
"6","1a",-0.279860870337012,0.755888900708182,"Time-to-Event (TTE)","AHR"
"6","1b",-0.592987784893903,0.552673545785249,"Time-to-Event (TTE)","AHR"
"6","2a",-0.443926963520345,0.641512272914412,"Time-to-Event (TTE)","AHR"
"6","2b",-0.416359890348141,0.659442900638303,"Time-to-Event (TTE)","AHR"
"6","3a",-0.425820450971352,0.653233619053662,"Time-to-Event (TTE)","AHR"
"6","3b",-0.427689137642956,0.652014069928778,"Time-to-Event (TTE)","AHR"
"6","4a",-0.431846042995662,0.649309334710391,"Time-to-Event (TTE)","AHR"
"6","4b",-0.426382996544355,0.652866248714094,"Time-to-Event (TTE)","AHR"
"6","4c",-0.429004978902564,0.651156687127262,"Time-to-Event (TTE)","AHR"
"6","5a",-0.431684134594091,0.649414471857964,"Time-to-Event (TTE)","AHR"
"6","5b",-0.425415248178906,0.653498364774453,"Time-to-Event (TTE)","AHR"
"6","5c",-0.426720439201644,0.652645980958232,"Time-to-Event (TTE)","AHR"
"6","5d",-0.426796450989483,0.652596374055772,"Time-to-Event (TTE)","AHR"
"6","6a",-0.426275516803536,0.652936422380351,"Time-to-Event (TTE)","AHR"
"6","6b",-0.431272141309239,0.649682081382333,"Time-to-Event (TTE)","AHR"
"6","7a",-0.423099647195729,0.655013359615249,"Time-to-Event (TTE)","AHR"
"6","7b",-0.430162184820265,0.650403600577714,"Time-to-Event (TTE)","AHR"
"6","8a",-0.422975319983273,0.655094800662936,"Time-to-Event (TTE)","AHR"
"6","8b",-0.426876452895905,0.652544167190076,"Time-to-Event (TTE)","AHR"
"6","8c",-0.429318586662509,0.650952511354466,"Time-to-Event (TTE)","AHR"
"6","9a",-0.424885061711178,0.653844932628814,"Time-to-Event (TTE)","AHR"
"6","9b",-0.427941843032565,0.651849323276266,"Time-to-Event (TTE)","AHR"
"1","10a",-0.407238795569766,0.665485256394948,"Binary","OR"
"1","10b",-0.409468513222891,0.664003065218863,"Binary","OR"
"1","10c",-0.410244394379571,0.663488077563025,"Binary","OR"
"1","1a",-0.409528430866832,0.663963280911527,"Binary","OR"
"1","1b",-0.409297359614277,0.664116721465666,"Binary","OR"
"1","2a",-0.40679680246459,0.665779461303352,"Binary","OR"
"1","2b",-0.411157244756789,0.662882688577963,"Binary","OR"
"1","3a",-0.408508460493655,0.664640849278023,"Binary","OR"
"1","3b",-0.409641904521583,0.663887942845946,"Binary","OR"
"1","4a",-0.412890235773927,0.661734913662305,"Binary","OR"
"1","4b",-0.411328095132297,0.662769444495874,"Binary","OR"
"1","4c",-0.412635429178043,0.661903549566891,"Binary","OR"
"1","5a",-0.407729550429074,0.665158746396312,"Binary","OR"
"1","5b",-0.409763011266848,0.663807546406341,"Binary","OR"
